sample_index,raw_code,voltage_mV,sample_rate_hz
0,2045,-1.464844,25000000.000
1,2046,-0.976562,25000000.000
2,2046,-0.976562,25000000.000
3,2045,-1.464844,25000000.000
4,2046,-0.976562,25000000.000
5,2046,-0.976562,25000000.000
6,2045,-1.464844,25000000.000
7,2045,-1.464844,25000000.000
8,2046,-0.976562,25000000.000
9,2045,-1.464844,25000000.000
10,2046,-0.976562,25000000.000
11,2046,-0.976562,25000000.000
12,2046,-0.976562,25000000.000
13,2045,-1.464844,25000000.000
14,2045,-1.464844,25000000.000
15,2045,-1.464844,25000000.000
16,2047,-0.488281,25000000.000
17,2046,-0.976562,25000000.000
18,2045,-1.464844,25000000.000
19,2046,-0.976562,25000000.000
20,2046,-0.976562,25000000.000
21,2045,-1.464844,25000000.000
22,2046,-0.976562,25000000.000
23,2046,-0.976562,25000000.000
24,2046,-0.976562,25000000.000
25,2046,-0.976562,25000000.000
26,2046,-0.976562,25000000.000
27,2046,-0.976562,25000000.000
28,2047,-0.488281,25000000.000
29,2046,-0.976562,25000000.000
30,2046,-0.976562,25000000.000
31,2046,-0.976562,25000000.000
32,2045,-1.464844,25000000.000
33,2045,-1.464844,25000000.000
34,2046,-0.976562,25000000.000
35,2045,-1.464844,25000000.000
36,2046,-0.976562,25000000.000
37,2045,-1.464844,25000000.000
38,2046,-0.976562,25000000.000
39,2045,-1.464844,25000000.000
40,2045,-1.464844,25000000.000
41,2045,-1.464844,25000000.000
42,2046,-0.976562,25000000.000
43,2046,-0.976562,25000000.000
44,2046,-0.976562,25000000.000
45,2046,-0.976562,25000000.000
46,2045,-1.464844,25000000.000
47,2045,-1.464844,25000000.000
48,2046,-0.976562,25000000.000
49,2046,-0.976562,25000000.000
50,2046,-0.976562,25000000.000
51,2046,-0.976562,25000000.000
52,2045,-1.464844,25000000.000
53,2045,-1.464844,25000000.000
54,2045,-1.464844,25000000.000
55,2046,-0.976562,25000000.000
56,2045,-1.464844,25000000.000
57,2045,-1.464844,25000000.000
58,2045,-1.464844,25000000.000
59,2045,-1.464844,25000000.000
60,2045,-1.464844,25000000.000
61,2045,-1.464844,25000000.000
62,2044,-1.953125,25000000.000
63,2044,-1.953125,25000000.000
64,2041,-3.417969,25000000.000
65,2041,-3.417969,25000000.000
66,2041,-3.417969,25000000.000
67,2041,-3.417969,25000000.000
68,2040,-3.906250,25000000.000
69,2038,-4.882812,25000000.000
70,2038,-4.882812,25000000.000
71,2037,-5.371094,25000000.000
72,2036,-5.859375,25000000.000
73,2035,-6.347656,25000000.000
74,2036,-5.859375,25000000.000
75,2036,-5.859375,25000000.000
76,2034,-6.835938,25000000.000
77,2036,-5.859375,25000000.000
78,2035,-6.347656,25000000.000
79,2035,-6.347656,25000000.000
80,2035,-6.347656,25000000.000
81,2036,-5.859375,25000000.000
82,2037,-5.371094,25000000.000
83,2037,-5.371094,25000000.000
84,2040,-3.906250,25000000.000
85,2042,-2.929688,25000000.000
86,2044,-1.953125,25000000.000
87,2044,-1.953125,25000000.000
88,2048,0.000000,25000000.000
89,2051,1.464844,25000000.000
90,2053,2.441406,25000000.000
91,2053,2.441406,25000000.000
92,2059,5.371094,25000000.000
93,2061,6.347656,25000000.000
94,2063,7.324219,25000000.000
95,2063,7.324219,25000000.000
96,2068,9.765625,25000000.000
97,2070,10.742188,25000000.000
98,2072,11.718750,25000000.000
99,2072,11.718750,25000000.000
100,2076,13.671875,25000000.000
101,2078,14.648438,25000000.000
102,2078,14.648438,25000000.000
103,2078,14.648438,25000000.000
104,2080,15.625000,25000000.000
105,2081,16.113281,25000000.000
106,2080,15.625000,25000000.000
107,2081,16.113281,25000000.000
108,2080,15.625000,25000000.000
109,2079,15.136719,25000000.000
110,2078,14.648438,25000000.000
111,2077,14.160156,25000000.000
112,2076,13.671875,25000000.000
113,2073,12.207031,25000000.000
114,2071,11.230469,25000000.000
115,2071,11.230469,25000000.000
116,2067,9.277344,25000000.000
117,2064,7.812500,25000000.000
118,2063,7.324219,25000000.000
119,2062,6.835938,25000000.000
120,2058,4.882812,25000000.000
121,2055,3.417969,25000000.000
122,2052,1.953125,25000000.000
123,2051,1.464844,25000000.000
124,2045,-1.464844,25000000.000
125,2043,-2.441406,25000000.000
126,2040,-3.906250,25000000.000
127,2039,-4.394531,25000000.000
128,2033,-7.324219,25000000.000
129,2029,-9.277344,25000000.000
130,2027,-10.253906,25000000.000
131,2027,-10.253906,25000000.000
132,2019,-14.160156,25000000.000
133,2016,-15.625000,25000000.000
134,2012,-17.578125,25000000.000
135,2013,-17.089844,25000000.000
136,2006,-20.507812,25000000.000
137,2004,-21.484375,25000000.000
138,2001,-22.949219,25000000.000
139,2000,-23.437500,25000000.000
140,1996,-25.390625,25000000.000
141,1995,-25.878906,25000000.000
142,1994,-26.367188,25000000.000
143,1994,-26.367188,25000000.000
144,1995,-25.878906,25000000.000
145,1994,-26.367188,25000000.000
146,1996,-25.390625,25000000.000
147,1996,-25.390625,25000000.000
148,2000,-23.437500,25000000.000
149,2004,-21.484375,25000000.000
150,2009,-19.042969,25000000.000
151,2008,-19.531250,25000000.000
152,2016,-15.625000,25000000.000
153,2023,-12.207031,25000000.000
154,2029,-9.277344,25000000.000
155,2029,-9.277344,25000000.000
156,2042,-2.929688,25000000.000
157,2050,0.976562,25000000.000
158,2057,4.394531,25000000.000
159,2057,4.394531,25000000.000
160,2071,11.230469,25000000.000
161,2078,14.648438,25000000.000
162,2083,17.089844,25000000.000
163,2084,17.578125,25000000.000
164,2095,22.949219,25000000.000
165,2101,25.878906,25000000.000
166,2105,27.832031,25000000.000
167,2104,27.343750,25000000.000
168,2111,30.761719,25000000.000
169,2111,30.761719,25000000.000
170,2112,31.250000,25000000.000
171,2112,31.250000,25000000.000
172,2108,29.296875,25000000.000
173,2106,28.320312,25000000.000
174,2102,26.367188,25000000.000
175,2101,25.878906,25000000.000
176,2092,21.484375,25000000.000
177,2085,18.066406,25000000.000
178,2079,15.136719,25000000.000
179,2078,14.648438,25000000.000
180,2063,7.324219,25000000.000
181,2056,3.906250,25000000.000
182,2049,0.488281,25000000.000
183,2047,-0.488281,25000000.000
184,2033,-7.324219,25000000.000
185,2026,-10.742188,25000000.000
186,2018,-14.648438,25000000.000
187,2017,-15.136719,25000000.000
188,2006,-20.507812,25000000.000
189,2002,-22.460938,25000000.000
190,2000,-23.437500,25000000.000
191,1998,-24.414062,25000000.000
192,1996,-25.390625,25000000.000
193,1997,-24.902344,25000000.000
194,1997,-24.902344,25000000.000
195,1998,-24.414062,25000000.000
196,2003,-21.972656,25000000.000
197,2007,-20.019531,25000000.000
198,2012,-17.578125,25000000.000
199,2012,-17.578125,25000000.000
200,2023,-12.207031,25000000.000
201,2029,-9.277344,25000000.000
202,2036,-5.859375,25000000.000
203,2036,-5.859375,25000000.000
204,2049,0.488281,25000000.000
205,2054,2.929688,25000000.000
206,2060,5.859375,25000000.000
207,2060,5.859375,25000000.000
208,2067,9.277344,25000000.000
209,2070,10.742188,25000000.000
210,2072,11.718750,25000000.000
211,2072,11.718750,25000000.000
212,2072,11.718750,25000000.000
213,2071,11.230469,25000000.000
214,2066,8.789062,25000000.000
215,2067,9.277344,25000000.000
216,2059,5.371094,25000000.000
217,2052,1.953125,25000000.000
218,2044,-1.953125,25000000.000
219,2044,-1.953125,25000000.000
220,2030,-8.789062,25000000.000
221,2021,-13.183594,25000000.000
222,2013,-17.089844,25000000.000
223,2012,-17.578125,25000000.000
224,1996,-25.390625,25000000.000
225,1989,-28.808594,25000000.000
226,1983,-31.738281,25000000.000
227,1982,-32.226562,25000000.000
228,1972,-37.109375,25000000.000
229,1967,-39.550781,25000000.000
230,1966,-40.039062,25000000.000
231,1966,-40.039062,25000000.000
232,1965,-40.527344,25000000.000
233,1967,-39.550781,25000000.000
234,1971,-37.597656,25000000.000
235,1971,-37.597656,25000000.000
236,1982,-32.226562,25000000.000
237,1989,-28.808594,25000000.000
238,1997,-24.902344,25000000.000
239,1998,-24.414062,25000000.000
240,2016,-15.625000,25000000.000
241,2027,-10.253906,25000000.000
242,2038,-4.882812,25000000.000
243,2040,-3.906250,25000000.000
244,2061,6.347656,25000000.000
245,2072,11.718750,25000000.000
246,2083,17.089844,25000000.000
247,2084,17.578125,25000000.000
248,2102,26.367188,25000000.000
249,2109,29.785156,25000000.000
250,2118,34.179688,25000000.000
251,2118,34.179688,25000000.000
252,2127,38.574219,25000000.000
253,2130,40.039062,25000000.000
254,2132,41.015625,25000000.000
255,2132,41.015625,25000000.000
256,2131,40.527344,25000000.000
257,2128,39.062500,25000000.000
258,2124,37.109375,25000000.000
259,2124,37.109375,25000000.000
260,2113,31.738281,25000000.000
261,2105,27.832031,25000000.000
262,2098,24.414062,25000000.000
263,2096,23.437500,25000000.000
264,2081,16.113281,25000000.000
265,2072,11.718750,25000000.000
266,2063,7.324219,25000000.000
267,2061,6.347656,25000000.000
268,2047,-0.488281,25000000.000
269,2039,-4.394531,25000000.000
270,2033,-7.324219,25000000.000
271,2032,-7.812500,25000000.000
272,2023,-12.207031,25000000.000
273,2020,-13.671875,25000000.000
274,2019,-14.160156,25000000.000
275,2018,-14.648438,25000000.000
276,2019,-14.160156,25000000.000
277,2020,-13.671875,25000000.000
278,2023,-12.207031,25000000.000
279,2024,-11.718750,25000000.000
280,2032,-7.812500,25000000.000
281,2038,-4.882812,25000000.000
282,2044,-1.953125,25000000.000
283,2044,-1.953125,25000000.000
284,2056,3.906250,25000000.000
285,2063,7.324219,25000000.000
286,2069,10.253906,25000000.000
287,2070,10.742188,25000000.000
288,2079,15.136719,25000000.000
289,2083,17.089844,25000000.000
290,2086,18.554688,25000000.000
291,2086,18.554688,25000000.000
292,2088,19.531250,25000000.000
293,2086,18.554688,25000000.000
294,2084,17.578125,25000000.000
295,2084,17.578125,25000000.000
296,2075,13.183594,25000000.000
297,2068,9.765625,25000000.000
298,2061,6.347656,25000000.000
299,2061,6.347656,25000000.000
300,2043,-2.441406,25000000.000
301,2034,-6.835938,25000000.000
302,2022,-12.695312,25000000.000
303,2022,-12.695312,25000000.000
304,2003,-21.972656,25000000.000
305,1995,-25.878906,25000000.000
306,1986,-30.273438,25000000.000
307,1985,-30.761719,25000000.000
308,1972,-37.109375,25000000.000
309,1967,-39.550781,25000000.000
310,1964,-41.015625,25000000.000
311,1964,-41.015625,25000000.000
312,1963,-41.503906,25000000.000
313,1964,-41.015625,25000000.000
314,1969,-38.574219,25000000.000
315,1970,-38.085938,25000000.000
316,1983,-31.738281,25000000.000
317,1992,-27.343750,25000000.000
318,2003,-21.972656,25000000.000
319,2004,-21.484375,25000000.000
320,2028,-9.765625,25000000.000
321,2042,-2.929688,25000000.000
322,2057,4.394531,25000000.000
323,2058,4.882812,25000000.000
324,2086,18.554688,25000000.000
325,2100,25.390625,25000000.000
326,2113,31.738281,25000000.000
327,2114,32.226562,25000000.000
328,2135,42.480469,25000000.000
329,2145,47.363281,25000000.000
330,2152,50.781250,25000000.000
331,2153,51.269531,25000000.000
332,2161,55.175781,25000000.000
333,2162,55.664062,25000000.000
334,2161,55.175781,25000000.000
335,2161,55.175781,25000000.000
336,2153,51.269531,25000000.000
337,2145,47.363281,25000000.000
338,2136,42.968750,25000000.000
339,2135,42.480469,25000000.000
340,2113,31.738281,25000000.000
341,2097,23.925781,25000000.000
342,2083,17.089844,25000000.000
343,2081,16.113281,25000000.000
344,2052,1.953125,25000000.000
345,2036,-5.859375,25000000.000
346,2022,-12.695312,25000000.000
347,2019,-14.160156,25000000.000
348,1993,-26.855469,25000000.000
349,1980,-33.203125,25000000.000
350,1969,-38.574219,25000000.000
351,1969,-38.574219,25000000.000
352,1955,-45.410156,25000000.000
353,1949,-48.339844,25000000.000
354,1947,-49.316406,25000000.000
355,1948,-48.828125,25000000.000
356,1949,-48.339844,25000000.000
357,1954,-45.898438,25000000.000
358,1961,-42.480469,25000000.000
359,1961,-42.480469,25000000.000
360,1980,-33.203125,25000000.000
361,1992,-27.343750,25000000.000
362,2005,-20.996094,25000000.000
363,2006,-20.507812,25000000.000
364,2034,-6.835938,25000000.000
365,2049,0.488281,25000000.000
366,2063,7.324219,25000000.000
367,2065,8.300781,25000000.000
368,2092,21.484375,25000000.000
369,2105,27.832031,25000000.000
370,2117,33.691406,25000000.000
371,2117,33.691406,25000000.000
372,2134,41.992188,25000000.000
373,2140,44.921875,25000000.000
374,2144,46.875000,25000000.000
375,2143,46.386719,25000000.000
376,2144,46.875000,25000000.000
377,2141,45.410156,25000000.000
378,2134,41.992188,25000000.000
379,2134,41.992188,25000000.000
380,2117,33.691406,25000000.000
381,2105,27.832031,25000000.000
382,2092,21.484375,25000000.000
383,2091,20.996094,25000000.000
384,2062,6.835938,25000000.000
385,2047,-0.488281,25000000.000
386,2031,-8.300781,25000000.000
387,2029,-9.277344,25000000.000
388,1999,-23.925781,25000000.000
389,1985,-30.761719,25000000.000
390,1971,-37.597656,25000000.000
391,1969,-38.574219,25000000.000
392,1949,-48.339844,25000000.000
393,1940,-52.734375,25000000.000
394,1935,-55.175781,25000000.000
395,1934,-55.664062,25000000.000
396,1928,-58.593750,25000000.000
397,1931,-57.128906,25000000.000
398,1933,-56.152344,25000000.000
399,1935,-55.175781,25000000.000
400,1947,-49.316406,25000000.000
401,1957,-44.433594,25000000.000
402,1969,-38.574219,25000000.000
403,1969,-38.574219,25000000.000
404,1996,-25.390625,25000000.000
405,2010,-18.554688,25000000.000
406,2027,-10.253906,25000000.000
407,2029,-9.277344,25000000.000
408,2058,4.882812,25000000.000
409,2074,12.695312,25000000.000
410,2088,19.531250,25000000.000
411,2089,20.019531,25000000.000
412,2112,31.250000,25000000.000
413,2123,36.621094,25000000.000
414,2131,40.527344,25000000.000
415,2131,40.527344,25000000.000
416,2141,45.410156,25000000.000
417,2143,46.386719,25000000.000
418,2142,45.898438,25000000.000
419,2142,45.898438,25000000.000
420,2134,41.992188,25000000.000
421,2127,38.574219,25000000.000
422,2117,33.691406,25000000.000
423,2118,34.179688,25000000.000
424,2097,23.925781,25000000.000
425,2083,17.089844,25000000.000
426,2071,11.230469,25000000.000
427,2069,10.253906,25000000.000
428,2042,-2.929688,25000000.000
429,2028,-9.765625,25000000.000
430,2015,-16.113281,25000000.000
431,2014,-16.601562,25000000.000
432,1992,-27.343750,25000000.000
433,1982,-32.226562,25000000.000
434,1974,-36.132812,25000000.000
435,1974,-36.132812,25000000.000
436,1964,-41.015625,25000000.000
437,1962,-41.992188,25000000.000
438,1961,-42.480469,25000000.000
439,1962,-41.992188,25000000.000
440,1968,-39.062500,25000000.000
441,1974,-36.132812,25000000.000
442,1982,-32.226562,25000000.000
443,1983,-31.738281,25000000.000
444,2002,-22.460938,25000000.000
445,2013,-17.089844,25000000.000
446,2025,-11.230469,25000000.000
447,2027,-10.253906,25000000.000
448,2051,1.464844,25000000.000
449,2064,7.812500,25000000.000
450,2078,14.648438,25000000.000
451,2078,14.648438,25000000.000
452,2100,25.390625,25000000.000
453,2110,30.273438,25000000.000
454,2118,34.179688,25000000.000
455,2118,34.179688,25000000.000
456,2128,39.062500,25000000.000
457,2131,40.527344,25000000.000
458,2131,40.527344,25000000.000
459,2131,40.527344,25000000.000
460,2126,38.085938,25000000.000
461,2121,35.644531,25000000.000
462,2112,31.250000,25000000.000
463,2111,30.761719,25000000.000
464,2093,21.972656,25000000.000
465,2081,16.113281,25000000.000
466,2068,9.765625,25000000.000
467,2066,8.789062,25000000.000
468,2041,-3.417969,25000000.000
469,2027,-10.253906,25000000.000
470,2013,-17.089844,25000000.000
471,2012,-17.578125,25000000.000
472,1988,-29.296875,25000000.000
473,1977,-34.667969,25000000.000
474,1968,-39.062500,25000000.000
475,1966,-40.039062,25000000.000
476,1954,-45.898438,25000000.000
477,1950,-47.851562,25000000.000
478,1950,-47.851562,25000000.000
479,1949,-48.339844,25000000.000
480,1951,-47.363281,25000000.000
481,1955,-45.410156,25000000.000
482,1962,-41.992188,25000000.000
483,1962,-41.992188,25000000.000
484,1979,-33.691406,25000000.000
485,1990,-28.320312,25000000.000
486,2001,-22.949219,25000000.000
487,2004,-21.484375,25000000.000
488,2028,-9.765625,25000000.000
489,2043,-2.441406,25000000.000
490,2057,4.394531,25000000.000
491,2057,4.394531,25000000.000
492,2082,16.601562,25000000.000
493,2095,22.949219,25000000.000
494,2105,27.832031,25000000.000
495,2106,28.320312,25000000.000
496,2123,36.621094,25000000.000
497,2129,39.550781,25000000.000
498,2134,41.992188,25000000.000
499,2134,41.992188,25000000.000
500,2136,42.968750,25000000.000
501,2136,42.968750,25000000.000
502,2133,41.503906,25000000.000
503,2132,41.015625,25000000.000
504,2121,35.644531,25000000.000
505,2113,31.738281,25000000.000
506,2104,27.343750,25000000.000
507,2103,26.855469,25000000.000
508,2083,17.089844,25000000.000
509,2070,10.742188,25000000.000
510,2059,5.371094,25000000.000
511,2057,4.394531,25000000.000
512,2036,-5.859375,25000000.000
513,2025,-11.230469,25000000.000
514,2015,-16.113281,25000000.000
515,2015,-16.113281,25000000.000
516,1999,-23.925781,25000000.000
