sample_index,raw_code,voltage_mV,sample_rate_hz
0,2045,-1.464844,25000000.000
1,2046,-0.976562,25000000.000
2,2046,-0.976562,25000000.000
3,2046,-0.976562,25000000.000
4,2046,-0.976562,25000000.000
5,2045,-1.464844,25000000.000
6,2046,-0.976562,25000000.000
7,2046,-0.976562,25000000.000
8,2047,-0.488281,25000000.000
9,2046,-0.976562,25000000.000
10,2046,-0.976562,25000000.000
11,2046,-0.976562,25000000.000
12,2047,-0.488281,25000000.000
13,2047,-0.488281,25000000.000
14,2046,-0.976562,25000000.000
15,2046,-0.976562,25000000.000
16,2046,-0.976562,25000000.000
17,2047,-0.488281,25000000.000
18,2047,-0.488281,25000000.000
19,2047,-0.488281,25000000.000
20,2047,-0.488281,25000000.000
21,2046,-0.976562,25000000.000
22,2046,-0.976562,25000000.000
23,2046,-0.976562,25000000.000
24,2046,-0.976562,25000000.000
25,2046,-0.976562,25000000.000
26,2046,-0.976562,25000000.000
27,2045,-1.464844,25000000.000
28,2046,-0.976562,25000000.000
29,2046,-0.976562,25000000.000
30,2046,-0.976562,25000000.000
31,2046,-0.976562,25000000.000
32,2046,-0.976562,25000000.000
33,2046,-0.976562,25000000.000
34,2045,-1.464844,25000000.000
35,2046,-0.976562,25000000.000
36,2045,-1.464844,25000000.000
37,2046,-0.976562,25000000.000
38,2046,-0.976562,25000000.000
39,2046,-0.976562,25000000.000
40,2045,-1.464844,25000000.000
41,2046,-0.976562,25000000.000
42,2046,-0.976562,25000000.000
43,2046,-0.976562,25000000.000
44,2046,-0.976562,25000000.000
45,2045,-1.464844,25000000.000
46,2045,-1.464844,25000000.000
47,2045,-1.464844,25000000.000
48,2045,-1.464844,25000000.000
49,2046,-0.976562,25000000.000
50,2046,-0.976562,25000000.000
51,2045,-1.464844,25000000.000
52,2045,-1.464844,25000000.000
53,2045,-1.464844,25000000.000
54,2046,-0.976562,25000000.000
55,2046,-0.976562,25000000.000
56,2046,-0.976562,25000000.000
57,2045,-1.464844,25000000.000
58,2045,-1.464844,25000000.000
59,2046,-0.976562,25000000.000
60,2044,-1.953125,25000000.000
61,2045,-1.464844,25000000.000
62,2044,-1.953125,25000000.000
63,2044,-1.953125,25000000.000
64,2043,-2.441406,25000000.000
65,2042,-2.929688,25000000.000
66,2042,-2.929688,25000000.000
67,2041,-3.417969,25000000.000
68,2040,-3.906250,25000000.000
69,2039,-4.394531,25000000.000
70,2038,-4.882812,25000000.000
71,2037,-5.371094,25000000.000
72,2035,-6.347656,25000000.000
73,2035,-6.347656,25000000.000
74,2035,-6.347656,25000000.000
75,2035,-6.347656,25000000.000
76,2034,-6.835938,25000000.000
77,2033,-7.324219,25000000.000
78,2034,-6.835938,25000000.000
79,2034,-6.835938,25000000.000
80,2035,-6.347656,25000000.000
81,2036,-5.859375,25000000.000
82,2037,-5.371094,25000000.000
83,2036,-5.859375,25000000.000
84,2039,-4.394531,25000000.000
85,2041,-3.417969,25000000.000
86,2042,-2.929688,25000000.000
87,2043,-2.441406,25000000.000
88,2047,-0.488281,25000000.000
89,2050,0.976562,25000000.000
90,2051,1.464844,25000000.000
91,2052,1.953125,25000000.000
92,2056,3.906250,25000000.000
93,2058,4.882812,25000000.000
94,2061,6.347656,25000000.000
95,2062,6.835938,25000000.000
96,2066,8.789062,25000000.000
97,2069,10.253906,25000000.000
98,2070,10.742188,25000000.000
99,2070,10.742188,25000000.000
100,2074,12.695312,25000000.000
101,2075,13.183594,25000000.000
102,2077,14.160156,25000000.000
103,2077,14.160156,25000000.000
104,2079,15.136719,25000000.000
105,2080,15.625000,25000000.000
106,2080,15.625000,25000000.000
107,2080,15.625000,25000000.000
108,2079,15.136719,25000000.000
109,2079,15.136719,25000000.000
110,2078,14.648438,25000000.000
111,2078,14.648438,25000000.000
112,2075,13.183594,25000000.000
113,2074,12.695312,25000000.000
114,2073,12.207031,25000000.000
115,2072,11.718750,25000000.000
116,2068,9.765625,25000000.000
117,2066,8.789062,25000000.000
118,2064,7.812500,25000000.000
119,2063,7.324219,25000000.000
120,2059,5.371094,25000000.000
121,2056,3.906250,25000000.000
122,2053,2.441406,25000000.000
123,2053,2.441406,25000000.000
124,2047,-0.488281,25000000.000
125,2044,-1.953125,25000000.000
126,2040,-3.906250,25000000.000
127,2041,-3.417969,25000000.000
128,2034,-6.835938,25000000.000
129,2032,-7.812500,25000000.000
130,2028,-9.765625,25000000.000
131,2027,-10.253906,25000000.000
132,2020,-13.671875,25000000.000
133,2016,-15.625000,25000000.000
134,2014,-16.601562,25000000.000
135,2013,-17.089844,25000000.000
136,2008,-19.531250,25000000.000
137,2004,-21.484375,25000000.000
138,2002,-22.460938,25000000.000
139,2002,-22.460938,25000000.000
140,1998,-24.414062,25000000.000
141,1996,-25.390625,25000000.000
142,1995,-25.878906,25000000.000
143,1996,-25.390625,25000000.000
144,1994,-26.367188,25000000.000
145,1994,-26.367188,25000000.000
146,1996,-25.390625,25000000.000
147,1996,-25.390625,25000000.000
148,2000,-23.437500,25000000.000
149,2003,-21.972656,25000000.000
150,2006,-20.507812,25000000.000
151,2006,-20.507812,25000000.000
152,2016,-15.625000,25000000.000
153,2021,-13.183594,25000000.000
154,2027,-10.253906,25000000.000
155,2028,-9.765625,25000000.000
156,2040,-3.906250,25000000.000
157,2047,-0.488281,25000000.000
158,2054,2.929688,25000000.000
159,2054,2.929688,25000000.000
160,2067,9.277344,25000000.000
161,2074,12.695312,25000000.000
162,2081,16.113281,25000000.000
163,2082,16.601562,25000000.000
164,2093,21.972656,25000000.000
165,2097,23.925781,25000000.000
166,2102,26.367188,25000000.000
167,2103,26.855469,25000000.000
168,2110,30.273438,25000000.000
169,2111,30.761719,25000000.000
170,2111,30.761719,25000000.000
171,2111,30.761719,25000000.000
172,2110,30.273438,25000000.000
173,2107,28.808594,25000000.000
174,2104,27.343750,25000000.000
175,2104,27.343750,25000000.000
176,2094,22.460938,25000000.000
177,2089,20.019531,25000000.000
178,2083,17.089844,25000000.000
179,2082,16.601562,25000000.000
180,2069,10.253906,25000000.000
181,2060,5.859375,25000000.000
182,2053,2.441406,25000000.000
183,2052,1.953125,25000000.000
184,2037,-5.371094,25000000.000
185,2029,-9.277344,25000000.000
186,2023,-12.207031,25000000.000
187,2022,-12.695312,25000000.000
188,2011,-18.066406,25000000.000
189,2006,-20.507812,25000000.000
190,2002,-22.460938,25000000.000
191,2002,-22.460938,25000000.000
192,1998,-24.414062,25000000.000
193,1997,-24.902344,25000000.000
194,1997,-24.902344,25000000.000
195,1997,-24.902344,25000000.000
196,2002,-22.460938,25000000.000
197,2005,-20.996094,25000000.000
198,2009,-19.042969,25000000.000
199,2010,-18.554688,25000000.000
200,2020,-13.671875,25000000.000
201,2026,-10.742188,25000000.000
202,2033,-7.324219,25000000.000
203,2034,-6.835938,25000000.000
204,2045,-1.464844,25000000.000
205,2053,2.441406,25000000.000
206,2057,4.394531,25000000.000
207,2057,4.394531,25000000.000
208,2066,8.789062,25000000.000
209,2070,10.742188,25000000.000
210,2072,11.718750,25000000.000
211,2072,11.718750,25000000.000
212,2073,12.207031,25000000.000
213,2073,12.207031,25000000.000
214,2069,10.253906,25000000.000
215,2069,10.253906,25000000.000
216,2061,6.347656,25000000.000
217,2055,3.417969,25000000.000
218,2049,0.488281,25000000.000
219,2048,0.000000,25000000.000
220,2034,-6.835938,25000000.000
221,2025,-11.230469,25000000.000
222,2017,-15.136719,25000000.000
223,2016,-15.625000,25000000.000
224,2001,-22.949219,25000000.000
225,1992,-27.343750,25000000.000
226,1985,-30.761719,25000000.000
227,1985,-30.761719,25000000.000
228,1974,-36.132812,25000000.000
229,1970,-38.085938,25000000.000
230,1966,-40.039062,25000000.000
231,1966,-40.039062,25000000.000
232,1966,-40.039062,25000000.000
233,1967,-39.550781,25000000.000
234,1969,-38.574219,25000000.000
235,1969,-38.574219,25000000.000
236,1978,-34.179688,25000000.000
237,1984,-31.250000,25000000.000
238,1992,-27.343750,25000000.000
239,1992,-27.343750,25000000.000
240,2011,-18.066406,25000000.000
241,2021,-13.183594,25000000.000
242,2032,-7.812500,25000000.000
243,2035,-6.347656,25000000.000
244,2055,3.417969,25000000.000
245,2066,8.789062,25000000.000
246,2077,14.160156,25000000.000
247,2078,14.648438,25000000.000
248,2097,23.925781,25000000.000
249,2105,27.832031,25000000.000
250,2113,31.738281,25000000.000
251,2114,32.226562,25000000.000
252,2125,37.597656,25000000.000
253,2129,39.550781,25000000.000
254,2131,40.527344,25000000.000
255,2131,40.527344,25000000.000
256,2131,40.527344,25000000.000
257,2129,39.550781,25000000.000
258,2127,38.574219,25000000.000
259,2125,37.597656,25000000.000
260,2115,32.714844,25000000.000
261,2109,29.785156,25000000.000
262,2102,26.367188,25000000.000
263,2100,25.390625,25000000.000
264,2084,17.578125,25000000.000
265,2076,13.671875,25000000.000
266,2068,9.765625,25000000.000
267,2066,8.789062,25000000.000
268,2050,0.976562,25000000.000
269,2042,-2.929688,25000000.000
270,2035,-6.347656,25000000.000
271,2035,-6.347656,25000000.000
272,2025,-11.230469,25000000.000
273,2020,-13.671875,25000000.000
274,2019,-14.160156,25000000.000
275,2019,-14.160156,25000000.000
276,2019,-14.160156,25000000.000
277,2020,-13.671875,25000000.000
278,2022,-12.695312,25000000.000
279,2022,-12.695312,25000000.000
280,2030,-8.789062,25000000.000
281,2034,-6.835938,25000000.000
282,2040,-3.906250,25000000.000
283,2041,-3.417969,25000000.000
284,2052,1.953125,25000000.000
285,2059,5.371094,25000000.000
286,2065,8.300781,25000000.000
287,2065,8.300781,25000000.000
288,2075,13.183594,25000000.000
289,2080,15.625000,25000000.000
290,2081,16.113281,25000000.000
291,2083,17.089844,25000000.000
292,2086,18.554688,25000000.000
293,2086,18.554688,25000000.000
294,2084,17.578125,25000000.000
295,2084,17.578125,25000000.000
296,2076,13.671875,25000000.000
297,2071,11.230469,25000000.000
298,2064,7.812500,25000000.000
299,2063,7.324219,25000000.000
300,2046,-0.976562,25000000.000
301,2038,-4.882812,25000000.000
302,2028,-9.765625,25000000.000
303,2027,-10.253906,25000000.000
304,2008,-19.531250,25000000.000
305,1998,-24.414062,25000000.000
306,1990,-28.320312,25000000.000
307,1989,-28.808594,25000000.000
308,1976,-35.156250,25000000.000
309,1970,-38.085938,25000000.000
310,1966,-40.039062,25000000.000
311,1966,-40.039062,25000000.000
312,1963,-41.503906,25000000.000
313,1964,-41.015625,25000000.000
314,1967,-39.550781,25000000.000
315,1969,-38.574219,25000000.000
316,1980,-33.203125,25000000.000
317,1988,-29.296875,25000000.000
318,1998,-24.414062,25000000.000
319,1999,-23.925781,25000000.000
320,2021,-13.183594,25000000.000
321,2035,-6.347656,25000000.000
322,2050,0.976562,25000000.000
323,2051,1.464844,25000000.000
324,2078,14.648438,25000000.000
325,2092,21.484375,25000000.000
326,2106,28.320312,25000000.000
327,2108,29.296875,25000000.000
328,2129,39.550781,25000000.000
329,2140,44.921875,25000000.000
330,2149,49.316406,25000000.000
331,2149,49.316406,25000000.000
332,2159,54.199219,25000000.000
333,2161,55.175781,25000000.000
334,2162,55.664062,25000000.000
335,2161,55.175781,25000000.000
336,2155,52.246094,25000000.000
337,2149,49.316406,25000000.000
338,2141,45.410156,25000000.000
339,2139,44.433594,25000000.000
340,2118,34.179688,25000000.000
341,2105,27.832031,25000000.000
342,2091,20.996094,25000000.000
343,2089,20.019531,25000000.000
344,2059,5.371094,25000000.000
345,2044,-1.953125,25000000.000
346,2028,-9.765625,25000000.000
347,2026,-10.742188,25000000.000
348,1999,-23.925781,25000000.000
349,1986,-30.273438,25000000.000
350,1974,-36.132812,25000000.000
351,1973,-36.621094,25000000.000
352,1957,-44.433594,25000000.000
353,1952,-46.875000,25000000.000
354,1949,-48.339844,25000000.000
355,1948,-48.828125,25000000.000
356,1949,-48.339844,25000000.000
357,1952,-46.875000,25000000.000
358,1957,-44.433594,25000000.000
359,1958,-43.945312,25000000.000
360,1975,-35.644531,25000000.000
361,1987,-29.785156,25000000.000
362,1998,-24.414062,25000000.000
363,2001,-22.949219,25000000.000
364,2027,-10.253906,25000000.000
365,2042,-2.929688,25000000.000
366,2056,3.906250,25000000.000
367,2058,4.882812,25000000.000
368,2086,18.554688,25000000.000
369,2098,24.414062,25000000.000
370,2111,30.761719,25000000.000
371,2112,31.250000,25000000.000
372,2130,40.039062,25000000.000
373,2137,43.457031,25000000.000
374,2143,46.386719,25000000.000
375,2142,45.898438,25000000.000
376,2144,46.875000,25000000.000
377,2141,45.410156,25000000.000
378,2137,43.457031,25000000.000
379,2136,42.968750,25000000.000
380,2121,35.644531,25000000.000
381,2111,30.761719,25000000.000
382,2099,24.902344,25000000.000
383,2098,24.414062,25000000.000
384,2070,10.742188,25000000.000
385,2055,3.417969,25000000.000
386,2039,-4.394531,25000000.000
387,2037,-5.371094,25000000.000
388,2006,-20.507812,25000000.000
389,1993,-26.855469,25000000.000
390,1978,-34.179688,25000000.000
391,1977,-34.667969,25000000.000
392,1955,-45.410156,25000000.000
393,1946,-49.804688,25000000.000
394,1939,-53.222656,25000000.000
395,1938,-53.710938,25000000.000
396,1930,-57.617188,25000000.000
397,1931,-57.128906,25000000.000
398,1933,-56.152344,25000000.000
399,1934,-55.664062,25000000.000
400,1944,-50.781250,25000000.000
401,1954,-45.898438,25000000.000
402,1964,-41.015625,25000000.000
403,1965,-40.527344,25000000.000
404,1990,-28.320312,25000000.000
405,2004,-21.484375,25000000.000
406,2020,-13.671875,25000000.000
407,2021,-13.183594,25000000.000
408,2050,0.976562,25000000.000
409,2067,9.277344,25000000.000
410,2081,16.113281,25000000.000
411,2084,17.578125,25000000.000
412,2107,28.808594,25000000.000
413,2119,34.667969,25000000.000
414,2127,38.574219,25000000.000
415,2128,39.062500,25000000.000
416,2139,44.433594,25000000.000
417,2143,46.386719,25000000.000
418,2142,45.898438,25000000.000
419,2143,46.386719,25000000.000
420,2137,43.457031,25000000.000
421,2131,40.527344,25000000.000
422,2123,36.621094,25000000.000
423,2122,36.132812,25000000.000
424,2103,26.855469,25000000.000
425,2090,20.507812,25000000.000
426,2077,14.160156,25000000.000
427,2076,13.671875,25000000.000
428,2050,0.976562,25000000.000
429,2036,-5.859375,25000000.000
430,2022,-12.695312,25000000.000
431,2021,-13.183594,25000000.000
432,1998,-24.414062,25000000.000
433,1987,-29.785156,25000000.000
434,1979,-33.691406,25000000.000
435,1978,-34.179688,25000000.000
436,1967,-39.550781,25000000.000
437,1963,-41.503906,25000000.000
438,1963,-41.503906,25000000.000
439,1962,-41.992188,25000000.000
440,1967,-39.550781,25000000.000
441,1970,-38.085938,25000000.000
442,1978,-34.179688,25000000.000
443,1979,-33.691406,25000000.000
444,1997,-24.902344,25000000.000
445,2008,-19.531250,25000000.000
446,2020,-13.671875,25000000.000
447,2020,-13.671875,25000000.000
448,2045,-1.464844,25000000.000
449,2059,5.371094,25000000.000
450,2070,10.742188,25000000.000
451,2072,11.718750,25000000.000
452,2094,22.460938,25000000.000
453,2104,27.343750,25000000.000
454,2113,31.738281,25000000.000
455,2114,32.226562,25000000.000
456,2125,37.597656,25000000.000
457,2129,39.550781,25000000.000
458,2130,40.039062,25000000.000
459,2130,40.039062,25000000.000
460,2127,38.574219,25000000.000
461,2123,36.621094,25000000.000
462,2116,33.203125,25000000.000
463,2114,32.226562,25000000.000
464,2097,23.925781,25000000.000
465,2086,18.554688,25000000.000
466,2073,12.207031,25000000.000
467,2072,11.718750,25000000.000
468,2047,-0.488281,25000000.000
469,2034,-6.835938,25000000.000
470,2019,-14.160156,25000000.000
471,2018,-14.648438,25000000.000
472,1994,-26.367188,25000000.000
473,1983,-31.738281,25000000.000
474,1972,-37.109375,25000000.000
475,1971,-37.597656,25000000.000
476,1957,-44.433594,25000000.000
477,1952,-46.875000,25000000.000
478,1949,-48.339844,25000000.000
479,1950,-47.851562,25000000.000
480,1949,-48.339844,25000000.000
481,1953,-46.386719,25000000.000
482,1957,-44.433594,25000000.000
483,1958,-43.945312,25000000.000
484,1974,-36.132812,25000000.000
485,1983,-31.738281,25000000.000
486,1996,-25.390625,25000000.000
487,1996,-25.390625,25000000.000
488,2020,-13.671875,25000000.000
489,2034,-6.835938,25000000.000
490,2048,0.000000,25000000.000
491,2049,0.488281,25000000.000
492,2075,13.183594,25000000.000
493,2087,19.042969,25000000.000
494,2098,24.414062,25000000.000
495,2100,25.390625,25000000.000
496,2118,34.179688,25000000.000
497,2124,37.109375,25000000.000
498,2129,39.550781,25000000.000
499,2130,40.039062,25000000.000
500,2135,42.480469,25000000.000
501,2135,42.480469,25000000.000
502,2132,41.015625,25000000.000
503,2131,40.527344,25000000.000
504,2123,36.621094,25000000.000
505,2115,32.714844,25000000.000
506,2107,28.808594,25000000.000
507,2106,28.320312,25000000.000
508,2088,19.531250,25000000.000
509,2077,14.160156,25000000.000
510,2065,8.300781,25000000.000
511,2064,7.812500,25000000.000
512,2041,-3.417969,25000000.000
513,2031,-8.300781,25000000.000
514,2020,-13.671875,25000000.000
515,2019,-14.160156,25000000.000
516,2003,-21.972656,25000000.000
