sample_index,raw_code,voltage_mV,sample_rate_hz
0,2047,-0.488281,25000000.000
1,2045,-1.464844,25000000.000
2,2047,-0.488281,25000000.000
3,2045,-1.464844,25000000.000
4,2046,-0.976562,25000000.000
5,2047,-0.488281,25000000.000
6,2044,-1.953125,25000000.000
7,2044,-1.953125,25000000.000
8,2046,-0.976562,25000000.000
9,2047,-0.488281,25000000.000
10,2045,-1.464844,25000000.000
11,2046,-0.976562,25000000.000
12,2044,-1.953125,25000000.000
13,2044,-1.953125,25000000.000
14,2053,2.441406,25000000.000
15,2040,-3.906250,25000000.000
16,2053,2.441406,25000000.000
17,2044,-1.953125,25000000.000
18,2052,1.953125,25000000.000
19,2043,-2.441406,25000000.000
20,2047,-0.488281,25000000.000
21,2046,-0.976562,25000000.000
22,2047,-0.488281,25000000.000
23,2045,-1.464844,25000000.000
24,2047,-0.488281,25000000.000
25,2046,-0.976562,25000000.000
26,2045,-1.464844,25000000.000
27,2045,-1.464844,25000000.000
28,2045,-1.464844,25000000.000
29,2048,0.000000,25000000.000
30,2047,-0.488281,25000000.000
31,2047,-0.488281,25000000.000
32,2049,0.488281,25000000.000
33,2046,-0.976562,25000000.000
34,2048,0.000000,25000000.000
35,2046,-0.976562,25000000.000
36,2047,-0.488281,25000000.000
37,2046,-0.976562,25000000.000
38,2046,-0.976562,25000000.000
39,2045,-1.464844,25000000.000
40,2046,-0.976562,25000000.000
41,2046,-0.976562,25000000.000
42,2046,-0.976562,25000000.000
43,2047,-0.488281,25000000.000
44,2045,-1.464844,25000000.000
45,2047,-0.488281,25000000.000
46,2046,-0.976562,25000000.000
47,2047,-0.488281,25000000.000
48,2045,-1.464844,25000000.000
49,2046,-0.976562,25000000.000
50,2047,-0.488281,25000000.000
51,2045,-1.464844,25000000.000
52,2046,-0.976562,25000000.000
53,2044,-1.953125,25000000.000
54,2043,-2.441406,25000000.000
55,2038,-4.882812,25000000.000
56,2047,-0.488281,25000000.000
57,2046,-0.976562,25000000.000
58,2045,-1.464844,25000000.000
59,2044,-1.953125,25000000.000
60,2047,-0.488281,25000000.000
61,2047,-0.488281,25000000.000
62,2047,-0.488281,25000000.000
63,2047,-0.488281,25000000.000
64,2046,-0.976562,25000000.000
65,2047,-0.488281,25000000.000
66,2047,-0.488281,25000000.000
67,2047,-0.488281,25000000.000
68,2048,0.000000,25000000.000
69,2045,-1.464844,25000000.000
70,2047,-0.488281,25000000.000
71,2045,-1.464844,25000000.000
72,2046,-0.976562,25000000.000
73,2043,-2.441406,25000000.000
74,2044,-1.953125,25000000.000
75,2045,-1.464844,25000000.000
76,2046,-0.976562,25000000.000
77,2046,-0.976562,25000000.000
78,2045,-1.464844,25000000.000
79,2047,-0.488281,25000000.000
80,2047,-0.488281,25000000.000
81,2044,-1.953125,25000000.000
82,2046,-0.976562,25000000.000
83,2047,-0.488281,25000000.000
84,2047,-0.488281,25000000.000
85,2046,-0.976562,25000000.000
86,2048,0.000000,25000000.000
87,2047,-0.488281,25000000.000
88,2047,-0.488281,25000000.000
89,2048,0.000000,25000000.000
90,2049,0.488281,25000000.000
91,2048,0.000000,25000000.000
92,2049,0.488281,25000000.000
93,2051,1.464844,25000000.000
94,2051,1.464844,25000000.000
95,2051,1.464844,25000000.000
96,2053,2.441406,25000000.000
97,2053,2.441406,25000000.000
98,2054,2.929688,25000000.000
99,2054,2.929688,25000000.000
100,2054,2.929688,25000000.000
101,2052,1.953125,25000000.000
102,2055,3.417969,25000000.000
103,2056,3.906250,25000000.000
104,2056,3.906250,25000000.000
105,2057,4.394531,25000000.000
106,2057,4.394531,25000000.000
107,2056,3.906250,25000000.000
108,2057,4.394531,25000000.000
109,2057,4.394531,25000000.000
110,2057,4.394531,25000000.000
111,2058,4.882812,25000000.000
112,2056,3.906250,25000000.000
113,2056,3.906250,25000000.000
114,2057,4.394531,25000000.000
115,2056,3.906250,25000000.000
116,2054,2.929688,25000000.000
117,2059,5.371094,25000000.000
118,2050,0.976562,25000000.000
119,2051,1.464844,25000000.000
120,2058,4.882812,25000000.000
121,2050,0.976562,25000000.000
122,2049,0.488281,25000000.000
123,2049,0.488281,25000000.000
124,2049,0.488281,25000000.000
125,2050,0.976562,25000000.000
126,2046,-0.976562,25000000.000
127,2048,0.000000,25000000.000
128,2046,-0.976562,25000000.000
129,2047,-0.488281,25000000.000
130,2046,-0.976562,25000000.000
131,2048,0.000000,25000000.000
132,2048,0.000000,25000000.000
133,2046,-0.976562,25000000.000
134,2048,0.000000,25000000.000
135,2047,-0.488281,25000000.000
136,2048,0.000000,25000000.000
137,2047,-0.488281,25000000.000
138,2048,0.000000,25000000.000
139,2047,-0.488281,25000000.000
140,2049,0.488281,25000000.000
141,2050,0.976562,25000000.000
142,2049,0.488281,25000000.000
143,2052,1.953125,25000000.000
144,2049,0.488281,25000000.000
145,2049,0.488281,25000000.000
146,2048,0.000000,25000000.000
147,2050,0.976562,25000000.000
148,2049,0.488281,25000000.000
149,2046,-0.976562,25000000.000
150,2046,-0.976562,25000000.000
151,2045,-1.464844,25000000.000
152,2044,-1.953125,25000000.000
153,2042,-2.929688,25000000.000
154,2040,-3.906250,25000000.000
155,2039,-4.394531,25000000.000
156,2037,-5.371094,25000000.000
157,2033,-7.324219,25000000.000
158,2033,-7.324219,25000000.000
159,2034,-6.835938,25000000.000
160,2033,-7.324219,25000000.000
161,2030,-8.789062,25000000.000
162,2034,-6.835938,25000000.000
163,2035,-6.347656,25000000.000
164,2027,-10.253906,25000000.000
165,2029,-9.277344,25000000.000
166,2030,-8.789062,25000000.000
167,2029,-9.277344,25000000.000
168,2034,-6.835938,25000000.000
169,2028,-9.765625,25000000.000
170,2035,-6.347656,25000000.000
171,2032,-7.812500,25000000.000
172,2035,-6.347656,25000000.000
173,2041,-3.417969,25000000.000
174,2044,-1.953125,25000000.000
175,2045,-1.464844,25000000.000
176,2047,-0.488281,25000000.000
177,2052,1.953125,25000000.000
178,2054,2.929688,25000000.000
179,2056,3.906250,25000000.000
180,2060,5.859375,25000000.000
181,2062,6.835938,25000000.000
182,2064,7.812500,25000000.000
183,2064,7.812500,25000000.000
184,2065,8.300781,25000000.000
185,2066,8.789062,25000000.000
186,2070,10.742188,25000000.000
187,2067,9.277344,25000000.000
188,2068,9.765625,25000000.000
189,2067,9.277344,25000000.000
190,2065,8.300781,25000000.000
191,2063,7.324219,25000000.000
192,2059,5.371094,25000000.000
193,2057,4.394531,25000000.000
194,2052,1.953125,25000000.000
195,2054,2.929688,25000000.000
196,2046,-0.976562,25000000.000
197,2042,-2.929688,25000000.000
198,2039,-4.394531,25000000.000
199,2038,-4.882812,25000000.000
200,2029,-9.277344,25000000.000
201,2025,-11.230469,25000000.000
202,2022,-12.695312,25000000.000
203,2020,-13.671875,25000000.000
204,2017,-15.136719,25000000.000
205,2015,-16.113281,25000000.000
206,2011,-18.066406,25000000.000
207,2011,-18.066406,25000000.000
208,2012,-17.578125,25000000.000
209,2013,-17.089844,25000000.000
210,2012,-17.578125,25000000.000
211,2014,-16.601562,25000000.000
212,2021,-13.183594,25000000.000
213,2019,-14.160156,25000000.000
214,2026,-10.742188,25000000.000
215,2027,-10.253906,25000000.000
216,2033,-7.324219,25000000.000
217,2036,-5.859375,25000000.000
218,2044,-1.953125,25000000.000
219,2043,-2.441406,25000000.000
220,2051,1.464844,25000000.000
221,2057,4.394531,25000000.000
222,2060,5.859375,25000000.000
223,2060,5.859375,25000000.000
224,2067,9.277344,25000000.000
225,2072,11.718750,25000000.000
226,2077,14.160156,25000000.000
227,2077,14.160156,25000000.000
228,2076,13.671875,25000000.000
229,2078,14.648438,25000000.000
230,2077,14.160156,25000000.000
231,2076,13.671875,25000000.000
232,2074,12.695312,25000000.000
233,2070,10.742188,25000000.000
234,2068,9.765625,25000000.000
235,2066,8.789062,25000000.000
236,2057,4.394531,25000000.000
237,2046,-0.976562,25000000.000
238,2053,2.441406,25000000.000
239,2039,-4.394531,25000000.000
240,2035,-6.347656,25000000.000
241,2027,-10.253906,25000000.000
242,2019,-14.160156,25000000.000
243,2022,-12.695312,25000000.000
244,2012,-17.578125,25000000.000
245,2010,-18.554688,25000000.000
246,2001,-22.949219,25000000.000
247,2002,-22.460938,25000000.000
248,1997,-24.902344,25000000.000
249,1992,-27.343750,25000000.000
250,1995,-25.878906,25000000.000
251,1992,-27.343750,25000000.000
252,1994,-26.367188,25000000.000
253,1993,-26.855469,25000000.000
254,1997,-24.902344,25000000.000
255,1997,-24.902344,25000000.000
256,2004,-21.484375,25000000.000
257,2010,-18.554688,25000000.000
258,2013,-17.089844,25000000.000
259,2016,-15.625000,25000000.000
260,2023,-12.207031,25000000.000
261,2032,-7.812500,25000000.000
262,2037,-5.371094,25000000.000
263,2038,-4.882812,25000000.000
264,2049,0.488281,25000000.000
